agent,abstract_overloaded_lorem_de__CoT,abstract_overloaded_lorem_de__numeric,random_abstract__CoT,random_abstract__numeric,random_abstract__single_numeric_response,rw17_indep_causes__CoT,rw17_indep_causes__numeric,rw17_indep_causes__single_numeric_response,rw17_overloaded_e__CoT,rw17_overloaded_e__numeric,normative_count,appearance_count,normative_frac,normative_pct
claude-3-5-haiku-20241022,False,False,False,False,,False,False,,False,False,0,8,0.0,0.0
claude-3-7-sonnet-20250219,False,False,False,False,,True,True,,True,False,3,8,0.375,37.5
claude-3-haiku-20240307,False,False,False,False,,False,False,,False,False,0,8,0.0,0.0
claude-3-opus,False,False,False,True,,True,,,True,False,3,7,0.42857142857142855,42.857142857142854
claude-3-sonnet-20240229,,,,,,False,False,,,,0,2,0.0,0.0
claude-opus-4-1-20250805,False,False,,False,,True,True,,,,2,5,0.4,40.0
claude-opus-4-20250514,False,False,False,False,,True,False,,,,1,6,0.16666666666666666,16.666666666666664
claude-sonnet-4-20250514,True,False,True,False,,True,False,,True,True,5,8,0.625,62.5
gemini-1.5-pro,False,False,False,False,,True,False,,True,False,2,8,0.25,25.0
gemini-2.5-flash,True,True,True,True,,True,True,,True,True,8,8,1.0,100.0
gemini-2.5-flash-lite,True,False,True,False,,True,False,,True,False,4,8,0.5,50.0
gemini-2.5-pro,True,True,True,True,,True,True,,True,True,8,8,1.0,100.0
gpt-3.5-turbo,,,False,False,,,False,,False,False,0,5,0.0,0.0
gpt-4,,,False,False,,False,False,,False,False,0,6,0.0,0.0
gpt-4.1,,,True,False,,True,True,,True,False,4,6,0.6666666666666666,66.66666666666666
gpt-4.1-mini,,,True,False,,False,False,,True,False,2,6,0.3333333333333333,33.33333333333333
gpt-4o,,,True,True,,True,True,,True,True,6,6,1.0,100.0
gpt-5-mini-v_low-r_high,,,,True,,,False,,,,1,2,0.5,50.0
gpt-5-mini-v_low-r_low,,,False,True,,False,False,,False,False,1,6,0.16666666666666666,16.666666666666664
gpt-5-mini-v_low-r_medium,,,False,True,,False,False,,False,,1,5,0.2,20.0
gpt-5-mini-v_low-r_minimal,False,False,False,False,,False,False,,False,False,0,8,0.0,0.0
gpt-5-nano-v_low-r_high,,,,,,,True,,,,1,1,1.0,100.0
gpt-5-nano-v_low-r_low,,,True,True,,True,True,,True,True,6,6,1.0,100.0
gpt-5-nano-v_low-r_medium,,,False,True,,,True,,,,2,3,0.6666666666666666,66.66666666666666
gpt-5-nano-v_low-r_minimal,False,False,True,False,,False,False,,False,False,1,8,0.125,12.5
gpt-5-v_low-r_low,,,True,True,,False,True,,False,False,3,6,0.5,50.0
gpt-5-v_low-r_medium,,,,True,,False,True,,,,2,3,0.6666666666666666,66.66666666666666
gpt-5-v_low-r_minimal,True,True,True,False,,False,False,,False,False,3,8,0.375,37.5
humans,,,,,False,,,False,,,0,2,0.0,0.0
o1,,,True,True,,,,,,,2,2,1.0,100.0
o1-mini,,,True,True,,,,,,,2,2,1.0,100.0
o3,,,True,True,,False,False,,,,2,4,0.5,50.0
o3-mini,,,False,False,,True,True,,,,2,4,0.5,50.0
